"date","institut","land","party","poll_share"
2017-10-13,"Civey","by","cdu",40.7
2017-10-13,"Civey","by","spd",14.1
2017-10-13,"Civey","by","fdp",11.3
2017-10-13,"Civey","by","gru",12.4
2017-10-13,"Civey","by","lin",7
2017-10-13,"Civey","by","afd",7.1
2017-10-13,"Civey","by","fw",3.4
2017-10-13,"Civey","by","bsw",NA
2017-11-16,"Civey","by","cdu",38.1
2017-11-16,"Civey","by","spd",16.1
2017-11-16,"Civey","by","fdp",8.3
2017-11-16,"Civey","by","gru",10.7
2017-11-16,"Civey","by","lin",3.8
2017-11-16,"Civey","by","afd",12.6
2017-11-16,"Civey","by","fw",7
2017-11-16,"Civey","by","bsw",NA
2017-11-30,"Civey","by","cdu",36.5
2017-11-30,"Civey","by","spd",16
2017-11-30,"Civey","by","fdp",7.1
2017-11-30,"Civey","by","gru",12.1
2017-11-30,"Civey","by","lin",3.5
2017-11-30,"Civey","by","afd",11.8
2017-11-30,"Civey","by","fw",9.5
2017-11-30,"Civey","by","bsw",NA
2017-12-13,"Civey","by","cdu",36.7
2017-12-13,"Civey","by","spd",16
2017-12-13,"Civey","by","fdp",7.1
2017-12-13,"Civey","by","gru",12.1
2017-12-13,"Civey","by","lin",2.9
2017-12-13,"Civey","by","afd",12.9
2017-12-13,"Civey","by","fw",8.3
2017-12-13,"Civey","by","bsw",NA
2018-01-16,"Civey","by","cdu",39.7
2018-01-16,"Civey","by","spd",15.2
2018-01-16,"Civey","by","fdp",5.8
2018-01-16,"Civey","by","gru",11.9
2018-01-16,"Civey","by","lin",3.2
2018-01-16,"Civey","by","afd",11.8
2018-01-16,"Civey","by","fw",7.3
2018-01-16,"Civey","by","bsw",NA
2018-02-26,"Civey","by","cdu",40.5
2018-02-26,"Civey","by","spd",13.9
2018-02-26,"Civey","by","fdp",5.7
2018-02-26,"Civey","by","gru",12.7
2018-02-26,"Civey","by","lin",3.2
2018-02-26,"Civey","by","afd",11.4
2018-02-26,"Civey","by","fw",7.5
2018-02-26,"Civey","by","bsw",NA
2018-03-16,"Civey","by","cdu",41.4
2018-03-16,"Civey","by","spd",14.2
2018-03-16,"Civey","by","fdp",4.6
2018-03-16,"Civey","by","gru",12
2018-03-16,"Civey","by","lin",3
2018-03-16,"Civey","by","afd",12.1
2018-03-16,"Civey","by","fw",8.4
2018-03-16,"Civey","by","bsw",NA
2018-04-06,"Civey","by","cdu",44
2018-04-06,"Civey","by","spd",14.9
2018-04-06,"Civey","by","fdp",4.8
2018-04-06,"Civey","by","gru",11.2
2018-04-06,"Civey","by","lin",2.9
2018-04-06,"Civey","by","afd",11.9
2018-04-06,"Civey","by","fw",6.3
2018-04-06,"Civey","by","bsw",NA
2018-05-13,"Civey","by","cdu",42.3
2018-05-13,"Civey","by","spd",13.3
2018-05-13,"Civey","by","fdp",5.3
